embalaje,largo,ancho,alto,peso,procedencia,temperatura,manipulacion,protocolo
A,34.6877080728045,51.45983456537069,42.09516356274622,23.857570606776374,D,refrigerado,fragil,protocolo_1
A,49.46400761269921,50.37806807157833,38.85852023635708,32.119335680264726,A,ambiente,normal,protocolo_2
B,66.6178502649989,52.21551698010492,27.181470657115415,23.359145307727815,C,ambiente,fragil,protocolo_1
C,24.215505503493855,41.945442502693474,51.96542112112225,20.01288132572352,C,ambiente,normal,protocolo_2
C,56.80481308982907,60.88006877379675,56.89535009370372,23.560809458102604,C,ambiente,normal,protocolo_2
C,41.24989317973901,50.476477941823575,35.884041937772786,25.382413061004467,D,ambiente,normal,protocolo_2
B,35.046840250380576,60.957641303517434,61.37811681363053,29.91074556623073,A,refrigerado,fragil,protocolo_1
A,61.121995707759766,34.15994492645241,40.57224737091819,27.813037623926217,D,ambiente,normal,protocolo_2
B,58.347129268280526,53.280429746211745,45.878958574463574,15.422156847978547,C,ambiente,fragil,protocolo_1
C,45.90062637859866,39.24850965425845,43.29787853503775,27.853306726431754,B,ambiente,fragil,protocolo_1
A,37.95680348314394,56.47314899211592,59.916016020296965,24.065910704265416,D,ambiente,fragil,protocolo_1
C,34.87487309654564,38.88378085753469,35.618517023899216,29.97434615662617,D,ambiente,normal,protocolo_2
B,56.784649860226075,45.60296014740704,35.13388861013335,20.297740032046782,C,ambiente,normal,protocolo_2
C,63.3588458660942,47.1460729820859,55.375064137434826,24.475815095570375,B,ambiente,normal,protocolo_2
C,36.58625938161528,28.422483075453194,32.892491694583725,21.61862096891086,C,ambiente,normal,protocolo_2
C,40.43959157378203,69.8965649105443,43.8128919669602,24.61145816953039,B,refrigerado,fragil,protocolo_1
A,24.31948029544006,39.4998498787254,36.8589693443,26.590055450776823,D,ambiente,normal,protocolo_2
B,55.08859664278941,46.1139734322433,45.768920604177424,24.530279164651038,D,ambiente,normal,protocolo_2
B,60.66682210466746,25.73011454711031,41.79292554382987,27.90249544350907,A,ambiente,normal,protocolo_2
B,69.73962858186232,69.91918180023507,54.60909125874011,26.486477406082706,B,ambiente,normal,protocolo_2
C,57.37413259987602,67.03736300945525,45.3800549648748,29.32061023716811,A,ambiente,normal,protocolo_2
A,46.68718023052425,9.86436392151672,80.48052019320815,25.98306746275699,D,ambiente,normal,protocolo_2
C,58.13306887083565,51.83431468459983,67.29313170535887,16.537897548545367,D,refrigerado,fragil,protocolo_1
